"","","Player Details","","Projection","","","","","Draft","","Passing","","","","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD"
"345","Joshua Dobbs","QB","DET","6","29.4","2","14.70","14","72","999.0","63","40","433","2.5","1","9","35","0.0","0","0","0","0.0"
"346","Nick Mullens","QB","JAX","7","29.3","2","14.65","14","71","999.0","64","42","466","2.8","3","4","13","0.2","0","0","0","0.0"
"347","Trey Lance","QB","LAC","7","29.3","2","14.64","14","88","999.0","58","34","373","1.8","2","13","71","0.3","0","0","0","0.0"
"348","Sean Tucker","RB","TB","10","29.3","14","2.09","15","63","192.8","0","0","0","0.0","0","35","147","1.2","5","4","26","0.2"
"349","John Bates","TE","WAS","7","29.2","15","1.95","9","139","999.0","0","0","0","0.0","0","0","0","0.0","16","12","111","1.0"
"350","Spencer Rattler","QB","NO","8","29.2","2","14.59","14","51","999.0","70","45","453","2.2","2","7","35","0.1","0","0","0","0.0"
"351","Cade Stover","TE","HST","8","29.1","15","1.94","9","36","999.0","0","0","0","0.0","0","0","0","0.0","20","15","100","0.8"
"352","Zavier Scott","RB","MIN","6","29.1","13","2.24","15","90","999.0","0","0","0","0.0","0","27","109","0.5","9","7","63","0.3"
"353","Demarcus Robinson","WR","SF","8","28.9","13","2.23","17","360","999.0","0","0","0","0.0","0","0","0","0.0","15","9","152","0.8"
"354","Reggie Virgil","WR","ARZ","14","28.1","15","1.88","17","337","999.0","0","0","0","0.0","0","0","0","0.0","18","11","126","0.7"
"355","Adam Trautman","TE","DEN","10","27.9","15","1.86","9","87","999.0","0","0","0","0.0","0","0","0","0.0","14","11","121","0.9"
"356","Marlin Klein","TE","HST","8","27.8","15","1.85","9","151","999.0","0","0","0","0.0","0","0","0","0.0","18","13","97","0.8"
"357","Bo Melton","WR","GB","11","27.7","13","2.13","17","302","999.0","0","0","0","0.0","0","5","31","0.0","18","10","101","0.7"
"358","Deion Burks","WR","IND","13","27.6","14","1.97","17","","1985.0","0","0","0","0.0","0","0","0","0.0","15","10","143","0.6"
"359","Davis Mills","QB","HST","8","27.6","2","13.78","14","63","999.0","66","41","424","2.5","2","5","19","0.1","0","0","0","0.0"
"360","Jawhar Jordan","RB","HST","8","27.5","15","1.83","15","95","999.0","0","0","0","0.0","0","37","154","0.7","5","4","31","0.2"
"361","Jarrett Stidham","QB","DEN","10","27.5","2","13.75","14","60","999.0","59","36","387","2.1","2","9","42","0.3","0","0","0","0.0"
"362","Drew Lock","QB","SEA","11","27.3","2","13.63","14","53","999.0","62","39","438","2.3","2","5","24","0.1","0","0","0","0.0"
