method,slice_type,slice_value,metric,n_rows,value
team_support_tree_average,season,2018,bias,405,-0.365326321214325
team_support_tree_average,season,2018,spearman,405,0.7912627565507886
team_support_equal_thirds,season,2018,rmse,405,3.350813104699393
team_support_equal_thirds,season,2018,mae,405,2.5744323419129995
team_support_equal_thirds,season,2018,bias,405,-0.5027598176176896
team_support_equal_thirds,season,2018,spearman,405,0.7943921646126975
team_rush_scoring_tree_average,season,2018,rmse,405,3.3546142484436987
team_rush_scoring_tree_average,season,2018,mae,405,2.5862191022539034
team_rush_scoring_tree_average,season,2018,bias,405,-0.3738184382831135
team_rush_scoring_tree_average,season,2018,spearman,405,0.7911893801230617
team_rush_scoring_equal_thirds,season,2018,rmse,405,3.360755775148386
team_rush_scoring_equal_thirds,season,2018,mae,405,2.5810627056035016
team_rush_scoring_equal_thirds,season,2018,bias,405,-0.505747142398171
team_rush_scoring_equal_thirds,season,2018,spearman,405,0.7967454796120617
all_environment_tree_average,season,2018,rmse,405,3.353441333119778
all_environment_tree_average,season,2018,mae,405,2.583642055536566
all_environment_tree_average,season,2018,bias,405,-0.38025056644945887
all_environment_tree_average,season,2018,spearman,405,0.7898841506064309
all_environment_equal_thirds,season,2018,rmse,405,3.353390178968205
all_environment_equal_thirds,season,2018,mae,405,2.5789249483682735
all_environment_equal_thirds,season,2018,bias,405,-0.5111299465760012
all_environment_equal_thirds,season,2018,spearman,405,0.7970974607501358
all_environment_lasso,season,2019,rmse,387,3.201173801405121
all_environment_lasso,season,2019,mae,387,2.5302133076005764
all_environment_lasso,season,2019,bias,387,-0.4667355492875925
all_environment_lasso,season,2019,spearman,387,0.799446482050417
all_environment_lightgbm,season,2019,rmse,387,3.1279202021268784
all_environment_lightgbm,season,2019,mae,387,2.489014187330018
all_environment_lightgbm,season,2019,bias,387,-0.0035439882518191385
all_environment_lightgbm,season,2019,spearman,387,0.7971312718492058
all_environment_random_forest,season,2019,rmse,387,3.1389522778388037
all_environment_random_forest,season,2019,mae,387,2.4869518677850926
all_environment_random_forest,season,2019,bias,387,0.004912121337071057
all_environment_random_forest,season,2019,spearman,387,0.8003460651780059
qb_style_lasso,season,2019,rmse,387,3.2173781424212873
qb_style_lasso,season,2019,mae,387,2.5312278869565086
qb_style_lasso,season,2019,bias,387,-0.47226920027173885
qb_style_lasso,season,2019,spearman,387,0.7946792090709326
qb_style_lightgbm,season,2019,rmse,387,3.1302208306550794
qb_style_lightgbm,season,2019,mae,387,2.470500371922593
qb_style_lightgbm,season,2019,bias,387,-0.049746363804059744
