league,domain,position,candidate,rows,seasons,production_rmse,opportunity_control_rmse,candidate_rmse,candidate_delta_vs_production,candidate_delta_vs_opportunity_control,mean_season_delta_vs_control,season_wins_vs_control,season_bootstrap_low,season_bootstrap_high,development_2018_2022_delta_vs_control,temporal_2023_2025_delta_vs_control,q90_rows,q90_rmse_delta_vs_control
dk,receiving,RB,rec_yards_per_target,901,8,3.467789791187955,3.490699523451015,3.48925271734476,0.021462926156805118,-0.0014468061062551385,-0.0016147707373120324,5,-0.014057453954401602,0.0091547776436922,1.6102090434344518e-05,-0.0039916810869851105,93,0.044573781061157725
dk,receiving,RB,rec_route_grade,901,8,3.467789791187955,3.4880723443339976,3.4876863701761915,0.019896578988236602,-0.00038597415780605715,0.0006467503339231406,5,-0.019491938217884617,0.022632165489374134,-0.0021026469986495933,0.0025937777400772966,93,-0.01998841235176041
dk,rushing,RB,rush_ypa,901,8,3.467789791187955,3.4891848953362614,3.4888441979708986,0.02105440678294368,-0.0003406973653627965,-0.00021176994688104633,4,-0.003922726430257928,0.003524768841349779,-0.00019062698336425044,-0.0006032510332172336,93,-0.05130127942317131
dk,rushing,RB,rush_mtf_per_attempt,901,8,3.467789791187955,3.4891848953362614,3.489524200316276,0.02173440912832092,0.0003393049800144432,0.0003481415233634322,3,-0.004303901556222234,0.004622280273004832,0.004291423454366061,-0.006585410330712804,93,-0.006789331069176896
dk,receiving,RB,rec_targeted_qb_rating,901,8,3.467789791187955,3.490699523451015,3.491456266649657,0.023666475461701975,0.0007567431986417184,0.0005187401355573051,3,-0.008280884832111056,0.009017596681756779,-0.003631175344671611,0.008372469687730977,93,0.028122927122065988
dk,rushing,RB,rush_first_downs_per_attempt,901,8,3.467789791187955,3.4891848953362614,3.4900601586319167,0.022270367443961714,0.0008752632956552375,0.0006974169974155453,4,-0.008159240600709106,0.010971353792154097,-0.004729106743128764,0.010658141242234631,93,0.025770368378523756
dk,rushing,RB,rush_zone_share,901,8,3.467789791187955,3.4891848953362614,3.4901487878639488,0.022358996675993836,0.00096389252768736,0.0009903515736400803,4,-0.0005787706088201241,0.0028433007623060447,0.0012843230365890967,0.0004032554025021895,93,-0.00039860520212808837
dk,receiving,RB,rec_mtf_per_reception,901,8,3.467789791187955,3.490057428553387,3.4914331090039616,0.023643317816006704,0.0013756804505744569,0.001784918445087269,3,-0.010447985379458624,0.013880414003941077,-0.003217541146249836,0.009345050817337164,93,-0.029485534276375347
dk,receiving,RB,rec_touchdowns_per_route,901,8,3.467789791187955,3.4880723443339976,3.489632880030659,0.021843088842703917,0.0015605356966612582,0.0013116526935378903,3,-0.004735319032385443,0.008030682288383273,0.0024506136506672327,1.4026687861878884e-05,93,0.006173237825358058
dk,receiving,RB,rec_adot,901,8,3.467789791187955,3.490699523451015,3.4923449055660893,0.0245551143781344,0.0016453821150741454,0.00141100684406692,3,-0.0017618607378969697,0.004772134020583241,0.002281409291211123,0.0005393649491423069,93,-0.025064720755672454
