Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameHalfPointPPR,FantasyPointsHalfPointPpr
1467,Marquiss Spencer,DEN,DE,17,0,0,0,0,0,0,0,0,0.7,0.1,0.1,0.1,0.7,11.94
1467,Marcus Willoughby,NO,OLB,17,0,0,0,0,0,0,0,0,0.7,0.1,0.1,0.1,0.7,11.94
1469,Nick Folk,NE,K,17,0,0,0,0,0,0,0,0,0,0,0,0,0.7,11.9
1470,Chauncey Golston,DAL,DE,17,0,0,0,0,0,0,0,0,0.7,0.1,0.2,0.1,0.7,11.89
1471,Khalil Davis,TB,DT,17,0,0,0,0,0,0,0,0,0.6,0.1,0.2,0.1,0.7,11.82
1471,Ryan Bee,ARI,DE,17,0,0,0,0,0,0,0,0,0.6,0.1,0.2,0.1,0.7,11.82
1471,Aaron Adeoye,BAL,DE,17,0,0,0,0,0,0,0,0,0.6,0.1,0.2,0.1,0.7,11.82
1474,Xavier Kelly,BAL,DT,17,0,0,0,0,0,0,0,0,0.7,0.1,0.2,0.1,0.7,11.74
1475,Willington Previlon,GB,DT,17,0,0,0,0,0,0,0,0,0.6,0.1,0.2,0.1,0.7,11.72
1475,Delontae Scott,GB,LB,17,0,0,0,0,0,0,0,0,0.6,0.1,0.2,0.1,0.7,11.72
1475,Carlo Kemp,GB,OLB,17,0,0,0,0,0,0,0,0,0.6,0.1,0.2,0.1,0.7,11.72
1475,Calvin Taylor,PIT,DE,17,0,0,0,0,0,0,0,0,0.6,0.1,0.2,0.1,0.7,11.72
1479,Ameer Abdullah,MIN,RB,17,0,0,0,44.7,0,5.2,34.4,0.2,0,0,0,0,0.7,11.71
1480,MyCole Pruitt,TEN,TE,17,0,0,0,0,0,4,37,1,0,0,0,0,0.7,11.7
1480,Jalen Camp,HOU,WR,17,0,0,0,0,0,6,87,0,0,0,0,0,0.7,11.7
1482,Christian Miller,CAR,DE,17,0,0,0,0,0,0,0,0,0.7,0.1,0.1,0,0.7,11.69
1483,Phil Hoskins,CAR,DT,17,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.1,0.7,11.68
1484,Eddy Piñeiro,WAS,K,17,0,0,0,0,0,0,0,0,0,0,0,0,0.7,11.6
1485,Jamell Garcia-Williams,ARI,OLB,16,0,0,0,0,0,0,0,0,0.6,0.1,0.2,0.1,0.7,11.57
1486,Olive Sagapolu,ATL,DT,17,0,0,0,0,0,0,0,0,0.5,0.1,0.2,0.1,0.7,11.55
1487,Nick Coe,MIA,DE,17,0,0,0,0,0,0,0,0,0.7,0.1,0.2,0.1,0.7,11.49
1488,Derek Carrier,LV,TE,17,0,0,0,0,0,6,60.7,0.4,0,0,0,0,0.7,11.47
1489,Jauan Jennings,SF,WR,17,0,0,0,0,0,7,69.6,0.2,0,0,0,0,0.7,11.46
1490,KhaDarel Hodge,DET,WR,17,0,0,0,0,0,5.9,72.4,0.2,0,0,0,0,0.7,11.39
1491,Nick Mullens,CLE,QB,17,212.3,1.4,1.4,0.5,0,0,0,0,0,0,0,0,0.7,11.34
1492,Siran Neal,BUF,CB,17,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.7,11.3
1493,Diontae Spencer,DEN,WR,17,0,0,0,4,0,6.4,60.9,0.3,0,0,0,0,0.7,11.29
1494,Jalen Jelks,WAS,DE,17,0,0,0,0,0,0,0,0,0.6,0.1,0.1,0.1,0.7,11.27
1494,Dane Cruikshank,TEN,S,17,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.1,0.7,11.27
1494,JaQuan Bailey,PHI,DE,17,0,0,0,0,0,0,0,0,0.6,0.1,0.1,0.1,0.7,11.27
1494,Matt Leo,PHI,DE,17,0,0,0,0,0,0,0,0,0.6,0.1,0.1,0.1,0.7,11.27
1494,Johnny Mundt,LAR,TE,17,0,0,0,0.1,0,6.6,61.6,0.3,0,0,0,0,0.7,11.27
1499,Kenny Randall,JAX,DT,17,0,0,0,0,0,0,0,0,0.5,0.1,0.1,0.1,0.7,11.25
1500,Devaroe Lawrence,WAS,DT,17,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.1,0.7,11.24
1501,Racey McMath,TEN,WR,17,0,0,0,0,0,6.1,75.8,0.1,0,0,0,0,0.7,11.23
1502,Carlos Davis,PIT,DT,17,0,0,0,0,0,0,0,0,0.3,0,0.2,0.1,0.7,11.21
1503,LaCale London,CHI,DL,17,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.1,0.7,11.18
1504,Dax Milne,WAS,WR,17,0,0,0,0,0,6.8,77.7,0,0,0,0,0,0.7,11.17
1505,Tarron Jackson,PHI,DE,17,0,0,0,0,0,0,0,0,0.6,0.1,0.1,0.1,0.7,11.12
1506,Blaine Gabbert,TB,QB,17,163.6,1.2,0.3,7.6,0,0,0,0,0,0,0,0,0.7,11.1
1507,Tyler Clark,KC,DT,17,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.1,0.7,11.08
1508,Brandon Allen,CIN,QB,17,202.1,1,0.9,9.4,0,0,0,0,0,0,0,0,0.6,11.02
