candidate_method,baseline_method,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better
raw_component_w100,production,recent_2020_2025,plus5_brier_row,1080,6,-6.154309009361383e-05,-0.0008483113379816084,0.0004978272921996611,0.542
raw_component_w100,production,recent_2020_2025,impact_brier_row,1080,6,0.0008538471039757531,-0.00010127526998735526,0.0016700235478721696,0.036
raw_component_w100,production,recent_2020_2025,zero_brier_row,1080,6,-7.994769113255046e-06,-0.00038678201118265735,0.0003786407750484489,0.5335
raw_component_w100,production,recent_2020_2025,extended_absence_brier_row,1080,6,0.0005055103391602165,9.829541103929042e-05,0.000956571777911649,0.006
raw_component_w100,production,temporal_2023_2025,ppg_crps,540,3,0.006184648545851926,-0.00027212918204860576,0.01559995242115899,0.035
raw_component_w100,production,temporal_2023_2025,contribution_crps,540,3,0.02968693369480581,0.00017552468827902363,0.06914858060366985,0.0
raw_component_w100,production,temporal_2023_2025,played_crps,540,3,0.007542609408992755,0.0018860971574525475,0.015949895912894856,0.0
raw_component_w100,production,temporal_2023_2025,plus3_brier_row,540,3,0.0008920763200000332,-0.001000325305041147,0.0021041072107715175,0.1495
raw_component_w100,production,temporal_2023_2025,plus5_brier_row,540,3,0.0002884371806815577,-0.0002092542157036424,0.0008534667618798754,0.148
raw_component_w100,production,temporal_2023_2025,impact_brier_row,540,3,0.0010078955904743467,0.0004030124867962778,0.0015569982343208244,0.0
raw_component_w100,production,temporal_2023_2025,zero_brier_row,540,3,0.00022172004678557792,-0.0003725781302469418,0.000774069094996324,0.148
raw_component_w100,production,temporal_2023_2025,extended_absence_brier_row,540,3,0.0008001260567692114,6.21757316849695e-05,0.0014114846381631978,0.0
ppg225_component_rank150,production,all_2017_2025,ppg_crps,1620,9,0.0021549924194103408,0.0002408093786660168,0.004212155571908128,0.013
ppg225_component_rank150,production,all_2017_2025,contribution_crps,1620,9,0.012238415472586228,0.0014035019645105673,0.024901053397288608,0.0115
ppg225_component_rank150,production,all_2017_2025,played_crps,1620,9,0.0025211015876761425,8.551135770698787e-05,0.004734123649269921,0.021
ppg225_component_rank150,production,all_2017_2025,plus3_brier_row,1620,9,0.00026814846281471224,-0.000448116141265566,0.0009400481988131039,0.226
ppg225_component_rank150,production,all_2017_2025,plus5_brier_row,1620,9,-0.0001250099925613863,-0.0005088512202145211,0.00024614508807139476,0.6995
ppg225_component_rank150,production,all_2017_2025,impact_brier_row,1620,9,0.0002902293276552162,-0.0001783106675896084,0.0006801750835184415,0.1135
ppg225_component_rank150,production,all_2017_2025,zero_brier_row,1620,9,-0.00014363832869411416,-0.00039748789429319383,0.0001534012996878257,0.83
ppg225_component_rank150,production,all_2017_2025,extended_absence_brier_row,1620,9,0.0003187565323613652,-3.478395471420422e-05,0.0006442755745726658,0.037
ppg225_component_rank150,production,development_2017_2022,ppg_crps,1080,6,0.0015022784856115294,-0.00018035830345192243,0.0031807626146165735,0.0575
ppg225_component_rank150,production,development_2017_2022,contribution_crps,1080,6,0.017066104053779563,0.0004459023857480862,0.033285898785300264,0.0195
